,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Marshall County,Indiana,16%,15%,n/a**,,"$13,309","$13,309",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$141,$140,n/a**,,2%,2%,n/a**,,11%,,82%,81%,89%,,"$60,698","$61,658","$48,309"
Martin County,Indiana,16%,16%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,3%,,88%,88%,90%,,"$54,615","$55,311","$24,212"
Miami County,Indiana,17%,17%,n/a**,,"$12,012","$12,070",n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,$156,$156,n/a**,,4%,4%,n/a**,,10%,,88%,88%,88%,,"$56,544","$56,760","$53,557"
Monroe County,Indiana,22%,22%,n/a**,,"$19,543","$19,543",n/a**,,13%,13%,n/a**,,"$11,570","$11,228",n/a**,,$165,$165,n/a**,,3%,3%,n/a**,,15%,,54%,56%,41%,,"$62,696","$66,493","$38,585"
Montgomery County,Indiana,13%,13%,n/a**,,"$15,798","$15,798",n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,7%,,84%,84%,86%,,"$58,142","$58,391","$52,932"
Morgan County,Indiana,17%,17%,n/a**,,"$18,249","$18,249",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$150,$150,n/a**,,2%,2%,n/a**,,4%,,85%,85%,94%,,"$75,655","$75,541","$80,633"
Newton County,Indiana,16%,16%,n/a**,,n/a*,n/a*,n/a**,,21%,22%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,8%,,90%,91%,81%,,"$58,288","$58,463","$54,424"
Noble County,Indiana,13%,13%,n/a**,,"$11,624","$12,000",n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,$155,$160,n/a**,,3%,3%,n/a**,,12%,,86%,85%,94%,,"$60,892","$60,802","$62,012"
Ohio County,Indiana,12%,12%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,1%,,87%,87%,100%,,"$57,205","$57,132","$65,835"
Orange County,Indiana,13%,13%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,89%,88%,93%,,"$49,103","$48,535","$66,697"
Owen County,Indiana,12%,12%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,3%,,89%,89%,90%,,"$53,843","$53,965","$48,940"
Parke County,Indiana,10%,10%,n/a**,,n/a*,n/a*,n/a**,,31%,31%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,87%,86%,91%,,"$55,417","$55,962","$25,971"
Perry County,Indiana,10%,10%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,89%,88%,92%,,"$55,290","$56,133","$26,637"
Pike County,Indiana,8%,7%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,1%,,88%,88%,87%,,"$57,259","$57,402","$35,153"
Porter County,Indiana,19%,19%,n/a**,,"$16,398","$16,556",n/a**,,13%,13%,n/a**,,"$7,060","$7,060",n/a**,,$159,$161,n/a**,,2%,2%,n/a**,,16%,,73%,72%,76%,,"$79,825","$79,801","$80,001"
Posey County,Indiana,13%,13%,n/a**,,"$10,870","$10,870",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,79%,79%,84%,,"$74,137","$75,092","$41,810"
Pulaski County,Indiana,17%,17%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,89%,88%,93%,,"$55,756","$56,199","$41,164"
Putnam County,Indiana,15%,15%,n/a**,,"$15,071","$15,071",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$185,$185,n/a**,,2%,2%,n/a**,,8%,,85%,84%,90%,,"$66,332","$66,507","$55,292"
Randolph County,Indiana,12%,12%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,88%,87%,94%,,"$55,472","$55,926","$41,869"
Ripley County,Indiana,16%,16%,n/a**,,"$22,442","$22,442",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,84%,84%,71%,,"$61,141","$61,417","$51,484"
Rush County,Indiana,14%,14%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,85%,85%,89%,,"$56,216","$56,358","$52,287"
St. Joseph County,Indiana,18%,18%,24%,,"$17,165","$18,422",n/a*,,15%,13%,40%,,"$8,206","$10,342",n/a*,,$170,$182,n/a*,,3%,2%,9%,,26%,,72%,70%,80%,,"$63,080","$66,918","$47,479"
Scott County,Indiana,12%,12%,n/a**,,"$13,803","$13,803",n/a**,,26%,26%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,88%,88%,92%,,"$54,136","$54,434","$43,080"
Shelby County,Indiana,18%,18%,n/a**,,"$13,293","$13,293",n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,$164,$164,n/a**,,3%,3%,n/a**,,7%,,85%,85%,82%,,"$61,949","$62,032","$60,497"
Spencer County,Indiana,9%,10%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,85%,85%,92%,,"$63,698","$64,194","$44,452"
Starke County,Indiana,17%,17%,n/a**,,"$15,885","$15,885",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,88%,88%,94%,,"$53,112","$53,686","$39,309"
Steuben County,Indiana,13%,13%,n/a**,,"$18,414","$18,414",n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,80%,80%,86%,,"$61,255","$61,462","$54,936"
Sullivan County,Indiana,13%,13%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,8%,,87%,86%,93%,,"$53,256","$53,361","$48,979"
Switzerland County,Indiana,10%,10%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,91%,91%,83%,,"$49,118","$48,983","$52,650"
Tippecanoe County,Indiana,17%,18%,n/a**,,"$20,089","$20,177",n/a**,,17%,17%,n/a**,,"$10,064","$10,064",n/a**,,$187,$188,n/a**,,3%,3%,n/a**,,22%,,65%,65%,61%,,"$64,546","$68,434","$44,689"
Tipton County,Indiana,16%,16%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,81%,80%,89%,,"$62,821","$63,052","$53,075"
Union County,Indiana,14%,14%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,81%,81%,100%,,"$51,750","$51,957","$31,420"
Vanderburgh County,Indiana,15%,15%,n/a**,,"$15,531","$15,500",n/a**,,15%,13%,n/a**,,"$5,197","$5,243",n/a**,,$149,$145,n/a**,,2%,2%,n/a**,,15%,,75%,74%,81%,,"$61,208","$64,391","$39,280"
Vermillion County,Indiana,12%,12%,n/a**,,n/a*,n/a*,n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,86%,87%,76%,,"$51,679","$51,784","$45,947"
Vigo County,Indiana,19%,19%,n/a*,,"$14,452","$14,452",n/a*,,18%,18%,n/a*,,"$4,526","$4,526",n/a*,,$163,$163,n/a*,,3%,3%,n/a*,,14%,,74%,74%,77%,,"$54,272","$54,937","$47,545"
Wabash County,Indiana,14%,14%,n/a**,,"$13,408","$13,408",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$123,$123,n/a**,,2%,2%,n/a**,,5%,,81%,81%,88%,,"$55,555","$55,119","$66,467"
Warren County,Indiana,13%,13%,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,3%,,81%,81%,92%,,"$69,264","$69,870","$50,254"
Warrick County,Indiana,15%,15%,n/a**,,"$16,945","$16,978",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$216,$218,n/a**,,2%,2%,n/a**,,7%,,73%,73%,68%,,"$79,791","$79,056","$92,162"
Washington County,Indiana,13%,13%,n/a**,,"$13,202","$13,202",n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,88%,87%,97%,,"$52,238","$52,973","$23,513"
Wayne County,Indiana,18%,18%,n/a**,,"$16,117","$15,658",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,$147,$147,n/a**,,4%,4%,n/a**,,11%,,84%,83%,88%,,"$62,522","$62,923","$56,839"
Wells County,Indiana,20%,20%,n/a**,,"$21,271","$21,271",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,$186,$186,n/a**,,2%,2%,n/a**,,5%,,82%,82%,92%,,"$60,624","$61,272","$41,945"
White County,Indiana,14%,15%,n/a**,,"$20,368","$20,368",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,10%,,84%,84%,93%,,"$62,819","$64,129","$44,439"
Whitley County,Indiana,18%,18%,n/a**,,"$15,035","$15,035",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,$133,$133,n/a**,,2%,2%,n/a**,,4%,,82%,81%,88%,,"$66,014","$66,503","$47,176"
Adair County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,85%,85%,77%,,"$58,963","$59,083","$52,166"
Adams County,Iowa,17%,17%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,3%,,85%,85%,87%,,"$59,548","$60,139","$26,293"
Allamakee County,Iowa,13%,13%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,8%,,84%,83%,89%,,"$61,409","$62,204","$46,128"
Appanoose County,Iowa,12%,12%,n/a**,,n/a*,n/a*,n/a**,,35%,35%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,4%,,82%,82%,89%,,"$53,427","$54,151","$31,862"
Audubon County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,3%,,86%,85%,100%,,"$66,054","$65,823","$78,866"
Benton County,Iowa,21%,21%,n/a**,,"$11,903","$11,903",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,3%,,78%,78%,84%,,"$75,245","$75,465","$52,927"
Black Hawk County,Iowa,23%,23%,n/a**,,"$16,685","$15,712",n/a**,,16%,12%,n/a**,,"$6,397",n/a*,n/a**,,$176,$176,n/a**,,4%,3%,n/a**,,17%,,71%,68%,90%,,"$68,163","$71,923","$43,779"
Boone County,Iowa,21%,21%,n/a**,,"$17,776","$17,776",n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,$168,$168,n/a**,,2%,2%,n/a**,,5%,,77%,77%,70%,,"$64,229","$64,522","$55,107"
Bremer County,Iowa,20%,20%,n/a**,,"$14,779","$14,779",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,71%,72%,54%,,"$77,465","$77,419","$80,612"
Buchanan County,Iowa,20%,20%,n/a**,,"$20,299","$20,299",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,3%,,83%,83%,90%,,"$73,598","$74,066","$45,422"
Buena Vista County,Iowa,15%,13%,n/a**,,n/a*,n/a*,n/a**,,2%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,1%,n/a**,,36%,,81%,75%,95%,,"$64,512","$68,730","$52,859"
Butler County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,3%,,85%,85%,71%,,"$64,031","$63,617","$95,328"
Calhoun County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,82%,81%,88%,,"$60,456","$60,807","$43,403"
Carroll County,Iowa,15%,15%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,4%,,80%,80%,91%,,"$63,449","$64,377","$30,763"
Cass County,Iowa,13%,13%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,80%,80%,80%,,"$56,603","$56,813","$48,386"
Cedar County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,78%,78%,88%,,"$66,955","$66,979","$65,818"
Cerro Gordo County,Iowa,18%,18%,n/a**,,"$16,334","$16,356",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$175,$177,n/a**,,2%,3%,n/a**,,8%,,78%,77%,87%,,"$62,272","$62,752","$54,725"
Cherokee County,Iowa,22%,22%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,81%,81%,90%,,"$61,904","$62,228","$49,947"
Chickasaw County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,85%,85%,87%,,"$62,024","$62,622","$38,589"
Clarke County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,12%,,86%,85%,100%,,"$54,049","$55,824","$34,990"
Clay County,Iowa,18%,18%,n/a**,,"$13,561","$13,561",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,81%,80%,93%,,"$62,547","$63,332","$38,958"
Clayton County,Iowa,14%,14%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,83%,83%,83%,,"$60,444","$60,935","$36,692"
Clinton County,Iowa,17%,17%,n/a**,,"$15,584","$15,584",n/a**,,20%,19%,n/a**,,n/a*,n/a*,n/a**,,$134,$140,n/a**,,3%,3%,n/a**,,8%,,80%,80%,85%,,"$64,144","$65,334","$43,856"
Crawford County,Iowa,12%,17%,n/a**,,n/a*,n/a*,n/a**,,13%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,31%,,87%,83%,98%,,"$60,740","$63,959","$47,609"
Dallas County,Iowa,22%,22%,n/a**,,"$19,185","$19,185",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$210,$210,n/a**,,3%,3%,n/a**,,13%,,54%,53%,57%,,"$106,484","$108,150","$82,577"
Davis County,Iowa,17%,17%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,83%,83%,92%,,"$64,115","$63,999","$72,800"
Decatur County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,7%,,80%,81%,70%,,"$49,436","$50,102","$36,418"
Delaware County,Iowa,21%,21%,n/a**,,"$12,064","$12,064",n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,3%,,85%,85%,100%,,"$67,995","$68,511","$33,551"
Des Moines County,Iowa,16%,16%,n/a**,,"$13,680","$13,680",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,$147,$147,n/a**,,3%,3%,n/a**,,12%,,80%,79%,87%,,"$57,771","$59,171","$40,780"
Dickinson County,Iowa,18%,18%,n/a**,,"$10,104","$10,104",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,3%,,73%,73%,63%,,"$74,454","$74,392","$79,538"
Dubuque County,Iowa,20%,20%,n/a**,,"$16,475","$16,454",n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,$177,$177,n/a**,,2%,2%,n/a**,,8%,,69%,69%,70%,,"$70,651","$72,703","$35,717"
Emmet County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,12%,,84%,83%,94%,,"$65,804","$66,389","$55,007"
Fayette County,Iowa,17%,17%,n/a**,,"$19,344","$19,344",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,82%,81%,88%,,"$57,810","$58,604","$32,384"
Floyd County,Iowa,19%,19%,n/a**,,"$14,139","$14,139",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,82%,81%,90%,,"$59,180","$59,793","$44,609"
Franklin County,Iowa,17%,17%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,14%,,83%,82%,93%,,"$61,024","$64,263","$33,128"
Fremont County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,79%,78%,88%,,"$69,531","$70,550","$43,899"
Greene County,Iowa,13%,13%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,81%,81%,92%,,"$62,314","$62,956","$38,706"
Grundy County,Iowa,13%,13%,n/a**,,n/a*,n/a*,n/a**,,12%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,1%,n/a**,,3%,,77%,78%,53%,,"$73,226","$73,024","$103,726"
Guthrie County,Iowa,22%,22%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,81%,81%,86%,,"$67,706","$68,107","$46,314"
Hamilton County,Iowa,20%,20%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,9%,,80%,79%,88%,,"$61,612","$62,742","$46,316"
Hancock County,Iowa,20%,20%,n/a**,,n/a*,n/a*,n/a**,,26%,26%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,6%,,82%,81%,94%,,"$63,545","$64,145","$45,083"
Hardin County,Iowa,13%,14%,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,7%,,82%,81%,95%,,"$63,136","$63,745","$50,081"
Harrison County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,83%,83%,87%,,"$63,838","$64,093","$52,322"
Henry County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,33%,33%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,11%,,81%,81%,88%,,"$60,327","$61,022","$51,351"
Howard County,Iowa,20%,20%,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,3%,,87%,87%,100%,,"$61,651","$62,059","$27,815"
Humboldt County,Iowa,24%,24%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,82%,82%,86%,,"$63,705","$64,463","$43,141"
Ida County,Iowa,14%,14%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,81%,80%,88%,,"$64,418","$65,956","$30,630"
Iowa County,Iowa,18%,18%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,79%,79%,97%,,"$70,599","$71,166","$47,587"
Jackson County,Iowa,17%,18%,n/a**,,"$14,962","$14,962",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,85%,85%,80%,,"$59,517","$59,866","$46,282"
Jasper County,Iowa,19%,19%,n/a**,,"$14,197","$14,197",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$148,$148,n/a**,,3%,3%,n/a**,,5%,,82%,82%,88%,,"$65,658","$66,350","$43,375"
Jefferson County,Iowa,24%,24%,n/a*,,"$20,943","$20,649",n/a*,,13%,13%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,n/a*,,18%,,68%,70%,57%,,"$60,151","$62,167","$33,898"
Johnson County,Iowa,25%,25%,n/a**,,"$19,647","$19,631",n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,$199,$204,n/a**,,2%,2%,n/a**,,19%,,53%,51%,63%,,"$76,974","$82,552","$48,109"
Jones County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,83%,83%,99%,,"$68,356","$68,862","$33,483"
Keokuk County,Iowa,17%,18%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,3%,,85%,85%,77%,,"$54,072","$54,538","$36,618"
Kossuth County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,81%,81%,74%,,"$65,397","$66,232","$31,361"
Lee County,Iowa,15%,15%,n/a**,,"$14,940","$15,480",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,$141,$141,n/a**,,3%,3%,n/a**,,9%,,85%,85%,78%,,"$53,513","$53,137","$59,051"
Linn County,Iowa,23%,23%,n/a**,,"$15,694","$15,694",n/a**,,14%,14%,n/a**,,"$8,229","$7,678",n/a**,,$165,$165,n/a**,,3%,3%,n/a**,,12%,,71%,70%,73%,,"$74,136","$76,612","$49,473"
Louisa County,Iowa,17%,19%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,20%,,87%,85%,94%,,"$65,551","$68,762","$47,492"
Lucas County,Iowa,16%,16%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,3%,,85%,85%,85%,,"$55,491","$56,390","$21,228"
Lyon County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,79%,79%,89%,,"$69,748","$69,648","$75,471"
Madison County,Iowa,20%,20%,n/a**,,"$6,936","$6,936",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,3%,,78%,78%,75%,,"$73,259","$73,338","$69,188"
Mahaska County,Iowa,22%,22%,n/a**,,"$14,268","$14,268",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$172,$172,n/a**,,3%,3%,n/a**,,6%,,77%,78%,70%,,"$61,427","$61,981","$47,432"
Marion County,Iowa,23%,23%,n/a**,,"$15,939","$15,939",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,$169,$169,n/a**,,4%,4%,n/a**,,5%,,75%,75%,79%,,"$65,893","$66,353","$52,179"
Marshall County,Iowa,13%,13%,n/a**,,"$13,118","$13,118",n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,25%,,80%,78%,92%,,"$63,537","$66,026","$49,395"
Mills County,Iowa,19%,19%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,76%,76%,80%,,"$75,124","$75,761","$56,458"
Mitchell County,Iowa,17%,16%,n/a**,,n/a*,n/a*,n/a**,,23%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,3%,n/a**,,2%,,85%,85%,68%,,"$62,363","$61,926","$110,815"
Monona County,Iowa,13%,13%,n/a**,,n/a*,n/a*,n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,85%,85%,91%,,"$54,937","$55,391","$43,548"
